State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
LA,70001,OCCUPANCY TAX EAST BANK UNINCORPORATED,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70002,OCCUPANCY TAX EAST BANK UNINCORPORATED,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70003,OCCUPANCY TAX EAST BANK UNINCORPORATED,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70004,OCCUPANCY TAX EAST BANK UNINCORPORATED,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70005,OCCUPANCY TAX EAST BANK UNINCORPORATED,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70006,OCCUPANCY TAX EAST BANK UNINCORPORATED,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70009,OCCUPANCY TAX EAST BANK UNINCORPORATED,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70010,OCCUPANCY TAX EAST BANK UNINCORPORATED,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70011,OCCUPANCY TAX EAST BANK UNINCORPORATED,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70030,ST. CHARLES,0.100000,0.050000,0.050000,0.000000,0.000000,0
LA,70031,ST. CHARLES,0.100000,0.050000,0.050000,0.000000,0.000000,0
LA,70032,ST. BERNARD,0.100000,0.050000,0.050000,0.000000,0.000000,0
LA,70033,OCCUPANCY TAX EAST BANK UNINCORPORATED,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70036,OCCUPANCY TAX WEST UNINCORPORATED,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70037,PLAQUEMINES,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70038,PLAQUEMINES,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70039,ST. CHARLES,0.100000,0.050000,0.050000,0.000000,0.000000,0
LA,70040,ST. BERNARD,0.100000,0.050000,0.050000,0.000000,0.000000,0
LA,70041,PLAQUEMINES,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70043,ST. BERNARD,0.100000,0.050000,0.050000,0.000000,0.000000,0
LA,70044,ST. BERNARD,0.100000,0.050000,0.050000,0.000000,0.000000,0
LA,70047,ST. CHARLES,0.100000,0.050000,0.050000,0.000000,0.000000,0
LA,70049,ST. JOHN THE BAPTIST,0.102500,0.050000,0.052500,0.000000,0.000000,0
LA,70050,PLAQUEMINES,0.097500,0.050000,0.047500,0.000000,0.000000,0
LA,70051,ST. JOHN THE BAPTIST,0.102500,0.050000,0.052500,0.000000,0.000000,0
